cwn.Synset('團.4') 計算聚集在一起從事特定活動的人的單位。 兩<團>的巡迴演唱地點，都包括日本、台灣及亞洲等地。
cwn.Synset('到案.0') 與案件相關的人至警察或司法機關。 昨天下午發出傳票，要曾姓男子近日內<到案>說明詳情。
cwn.Synset('內部.0') 在前述對象所包含的空間範圍中存在的組成成份或部件。 腦貧血是指流過腦組織<內部>的血液的量，一時大為減少而產生暈眩的狀態而言。
cwn.Synset('策略.0') 形容進行特定事件時手段靈活的。 青年說話十分<策略>，不動聲色的把自己的想法表達了出來。
cwn.Synset('外交.0') 和其他國家類似的組織進行交流活動。 市府支援社區居民與世界進行文化藝術<外交>。
cwn.Synset('外交.2') 大學中教授外交知識的教學研究單位。外交系所的簡省。 他求學時代念的是<外交>研究所，還沒有畢業就以特考第一名進入外交部。
cwn.Synset('大部份.0') 表揣測數量超過半數以上，且比較接近全部的數量。 據了解，赫茲租車此次結束<大部份>業務，主要由於內部虧損過鉅。
cwn.Synset('過癮.0') 形容因滿足特定喜好而覺得非常愉快。 吳郭魚、鯉魚等，少說都半斤以上，肥大得令釣者大呼<過癮>！
cwn.Synset('煩.3') 打擾後述對象，使其心情焦慮不平靜。 我現在不想講，是不想傷害對方，大家不要用去問她，也不要來<煩>我。
cwn.Synset('判決.1') 裁判對比賽過程或結果做出的決定。 韓國教練再一次叫囂抗議，不服<判決>，大會也以強硬手段對之。
cwn.Synset('親身.0') 表自己本身。 筆者將提供相關的知識及<親身>照顧此類病人的經驗與大家分享。
cwn.Synset('逐步.0') 表一步一步的。 由於該套軟體是初次使用，尚有一些小缺失待<逐步>改進。
cwn.Synset('飽受.0') 強烈地遭受到，多接負面影響。 砂石廠嚴重盜採，導致兩條圳水路安全<飽受>威脅。
cwn.Synset('中國時報.1') 臺灣的一家報社，民國三十九年由余紀忠創辦，是臺灣的全國性報紙之一。 本院資訊所並利用全文資料庫技術，為<中國時報>開發了時報新聞資料庫。
cwn.Synset('多方.0') 形容多個相對或並列的對象。 如市立美術館經過<多方>人士爭取、費時十年才完成。
cwn.Synset('倍加.0') 表程度加深很多。 計畫之效益必須較過去<倍加>精進。
cwn.Synset('建立.0') 比喻建構特定目標並執行。 伊拉克戰爭五週年：聯合國致力幫助伊拉克<建立>和平未來。
cwn.Synset('表達給.0') 用言語或行為把情感或態度傳達到後述對象。 他還要透過樂團，才能把最終的表演產物-音樂-<表達給>聽眾。
cwn.Synset('希望.0') 對特定事件的願望與期待。 生命是動態的，也就是充滿<希望>，從前做得不夠好，今天開始可以更好。
cwn.Synset('希望.1') 比喻願望所寄託的特定對象。 在貧窮小孩眼中只有老師是他們的<希望>。
cwn.Synset('復健.0') 以按摩或運動等物理方式使病人恢復身體功能。 星期二看完醫生做了一次<復健>，當然星期三又痛又腫了！
cwn.Synset('前方.0') 與參考物體面對的方向相同的方向。 鏡子裡面也有個世界，和我<前方>能看到的完全不同。
cwn.Synset('不客氣.0') 回應他人對自己謝意的禮貌用語。 小王:謝謝你一直以來的幫忙！小李:<不客氣>！有需要幫忙儘管開口吧！
cwn.Synset('鐵誓.0') 保證一定完成的誓言或承諾。 我要如何忘記白頭偕老的<鐵誓>，難道過去你都早已遺棄。
cwn.Synset('嗚呼哀哉.0') 表示十分惋惜。 世風日下，道德不見人心，公義何在？<嗚呼哀哉>！<嗚呼哀哉>！
cwn.Synset('因素.0') 造成特定事件的原因或其本質成分。 即使在女權主義高漲的今天，女性知識份子在行為處事上仍較重視情感<因素>。
cwn.Synset('反正.0') 用來強調某種既定或已知的事實或情況，說明不影響事情狀況的理由。 <反正>到處都塞車，聽不聽路況報導都沒有關係吧！
cwn.Synset('從旁.0') 表非主事者，不直接參與事件。 自我成長一定要靠自己，良師益友也只能做些<從旁>輔助的工作。
cwn.Synset('冷戰.1') 以美國為首的北大西洋公約組織和以蘇聯為首的華沙公約組織間沒有武力衝突的緊張對峙。 <冷戰>後歷史已告終結，不必再有意識型態的顧忌。
cwn.Synset('熱帶草原.0') 位於熱帶氣候區，由多年生旱生植物為主所組成的草原。 你知道在乾雨季分明的<熱帶草原>裡，動物和植物們要如何克服環境的困難嗎？
cwn.Synset('憂鬱.0') 憂鬱症的簡省。 長期的治療之下，他的憂鬱並沒有好轉的跡象。
cwn.Synset('陸棲生物.0') 主要生活在陸地上的生物。 <陸棲生物>的生殖、呼吸作用及代謝作用均不需要水的參與。
cwn.Synset('廟宇.0') 廟的建築物及建築物所在的位置。 經過幾次改建之後，現在北港的媽祖廟是臺灣最宏偉的<廟宇>之一。
cwn.Synset('流於.0') 演變成不好的結果。 他表示對於這次投票<流於>意識型態鬥爭覺得很遺憾。
cwn.Synset('師院.0') 專門培養小學師資的獨立學院。 國立臺南<師院>第七屆振鐸文學獎，昨天評審結果出爐。
cwn.Synset('梅子.0') 梅樹果實所做醃製成的蜜餞。 經由醃漬的<梅子>，食之能增進食慾保健腸胃，用於烹製菜餚風味更佳。
cwn.Synset('舉例.0') 提出例子做說明。 讓我<舉例>來看我們能否把握什麼是喜悅？
cwn.Synset('道別.0') 比喻忘記過去的回憶。 用歌聲<道別>今年，鬥陣相挺迎來年。
cwn.Synset('道別.1') 離開人或地時說再見。 當我離開時，沒有向任何人<道別>，也沒有留下片言隻字。
cwn.Synset('拉票.0') 在競選活動中，爭取選民的支持。 澳洲駐台北辦事處顯然對北京跑到台北<拉票>的影響意義，非常注意。
cwn.Synset('自覺.0') 對事件有自我認識而產生的覺悟。 感覺到這個問題的嚴重和親切，自然是表示人有了<自覺>，表示文化的提高，是值得重視的。
cwn.Synset('動作.0') 身體姿態的活動。 年輕夫妻的樸實勤勉在他們沈默的<動作>中不自覺地流露。
cwn.Synset('絕不.0') 表絕對不。 主管每日一定要到工場巡視，<絕不>紙上談兵。
cwn.Synset('十分.3') 臺灣地名，位於臺北縣平溪鄉。 <十分>地區風光明媚，好山好水，是休閒旅遊好去處。
cwn.Synset('搜尋.0') 查找特定的具體人事物。 為了<搜尋>到他的相關資訊我可是費了一些功夫！
cwn.Synset('拎杯.0') 代指男性說話者自己。粗俗用語。 一下好一下不好，反反覆覆，<拎杯>聽了歸懶趴火。
cwn.Synset('也者.0') 表示句中的停頓，引介後文的說明或評價。 所謂勝敗<也者>，好像根本不是一件應該注意的事。
cwn.Synset('力圖.1') 表現力量的方向與強度的圖表。 請各位同學將上題吹彈珠的<力圖>予以畫出。
cwn.Synset('文明.1') 文明指一種社會進步狀態，人類社會進步開化的狀態。相對於野蠻而言。 1.長江流域是中華古老<文明>起源地之一。2.台灣地區在這幾年來，由農業<文明>走入工業<文明>，且邁入第三波的資訊時代。
cwn.Synset('看起來.1') 表從特定對象的表面觀察並判斷。 這個世界上富人佔少數，窮人佔多數，<看起來>好像財富比較難到手。
cwn.Synset('生命.5') 比喻藝術作品靈活生動、貼近人類生活的特質。 畫者必須有足夠的能量才能畫出有<生命>的畫。
cwn.Synset('史密斯.0') 英國經濟學家，全名為亞當˙史密斯，著有「國富論」一書。 今年經濟獎的得獎人是美國普林斯頓大學心理學家卡恩曼，以及喬治梅森大學的經濟學家<史密斯>。
cwn.Synset('緩和.1') 形容圖形的斜率小，用來表示變化的幅度不大。 拜新台幣升值之賜，以新台幣計價的進口價格上漲幅度已較<緩和>。
cwn.Synset('面臨.0') 比喻正在經歷後述事件。 如何對自己研究的價值得到客觀的判斷，更是學者常常<面臨>的難題。
cwn.Synset('蓄.0') 比喻將特定事物累積在記憶中。 在某種意義上說，我特別需要文字去鋪陳<蓄>在心底裡的雜念。
cwn.Synset('這麼.0') 表加強語氣，強調後述對象。 我年紀大了，卻只有<這麼>幾個女兒。
cwn.Synset('蓋.0') 物體擋在主事者的視線及特定物體之間，導致主事者無法看到特定物體。 你看！你的頭髮都<蓋>到眼睛了！
cwn.Synset('畫下道.0') 表明身份地位或來歷。 龍嫂<畫下道>了，兄弟我遵命奉陪。
cwn.Synset('絲毫.0') 表完全。 西方這個世紀以來藝術形式的豐富與多樣化，<絲毫>無法遮掩它內涵逐漸空洞化的事實。
cwn.Synset('絲毫.1') 少量。 貧苦的經驗，並沒有帶給他<絲毫>的自卑，反倒因而具備許多生活技能。
cwn.Synset('好萊塢.0') 位於美國加州洛杉磯西郊的一區。 我曾在美國洛杉磯的<好萊塢>住過一年。
cwn.Synset('最後.2') 指當主事者失去一切的時候，唯一剩下的可用的對象。 將軍最後的流浪，在十四天的航行裡，「回憶」是他<最後>的資產。
cwn.Synset('屆時.0') 表到預定時點。 永鑫證券將於明日再度進行董監事大會，預料<屆時>人事將大幅換血。
cwn.Synset('蓬.0') 多年生草本植物，菊科飛蓬屬，莖多分枝，葉形似柳而小，有剛毛，花色白，成熟後隨風飛。 「<蓬>」是<蓬>草，俗稱「飛<蓬>」。其根類竹根，枝葉似楊柳，盤盤旋旋。<蓬>草根短淺易斷，秋季枯乾後，由於體輕，遇風根斷，隨風而走，所以有「秋<蓬>惡本根」的說法。
cwn.Synset('教師.0') 從事教學工作的人。 繼台大將軍護課程改為選修後，政大<教師>論壇社也將推動政大軍訓改選修。
cwn.Synset('有.1') 給予對方的回應。 要參加的出來喊聲「<有>」吧！
cwn.Synset('月.4') 計算時間的單位，一個月約為30天。 他回國休養已達一<月>之久。
cwn.Synset('校長.0') 學校系統中的領導人。 臺南一中黃<校長>的兒子，在考上臺大電機系後對父母說，他想念哲學系。
cwn.Synset('服.1') 依法律所規定，擔任特定職責，或履行特定義務，或接受刑罰。 法國是少數歐美國家中須<服>義務役的國家。
cwn.Synset('最.0') 屬性超過所有同類對象的對象。 長達十天的各項活動堪稱歷次院士會議之<最>。
cwn.Synset('約翰.0') 為耶穌十二門徒之一，著有「約翰福音」。 初期教會的時代，<約翰>與彼得曾在一起，傳講天國的福音。
cwn.Synset('疾病.0') 生理或心理上發生的不正常的狀態。 一般而言、恐慌症是個慢性的<疾病>，往往需要長期而持續的治療。
cwn.Synset('正統.0') 君主時代經過認可的相承系統。 他反「<正統>」，因為<正統>是當政者強加建構的；他不反「傳統」，因為「傳統」是自然形成的。
cwn.Synset('望.6') 農曆每月十五日，地球上所看見的滿月月相為「望」。 農曆十五出現的月不一定都是滿月的<望>，今年農曆八月月亮最<望>的時刻，是在中秋節翌日下午八時二分。
cwn.Synset('朝.7') 君主聽政、辦事的地方。 其間君臣之分澹薄，主下之分不若其他二集團明顯，如張昭與孫權在<朝>上相爭，互逞氣燄。
cwn.Synset('期.1') 地質年代分類單位的一種，在世之下，亞期之上。 燕山<期>岩漿活動在中國境內最為強烈，產出之岩漿岩分佈廣，數量多，岩體面積大。
cwn.Synset('朕.0') 代指皇帝自己。 <朕>閱人極多，未知有如此非凡之物。
cwn.Synset('人行道.0') 馬路旁專供行人通行的路。 景觀設計師瑪莎以樹距的大小來劃分出車道與<人行道>。
cwn.Synset('朗.0') 形容天空沒有烏雲遮蓋而光線充足明亮。 天<朗>氣清，萬里無雲的秋夜天空，正足突顯出月皎潔的光華。
cwn.Synset('木.1') 五行之一，由水而生，可以剋土，中國將其視為構成萬物的基本元素之一。 金生水，水生<木>。
cwn.Synset('奮力.0') 表用出全部的力氣。 我們總是先多方考慮、準備充分，然後在時機來臨時，<奮力>抓住！
cwn.Synset('未.1') 表否定事件的發生或狀態。 他雖曾在民國七十六年與屏東老家取得聯繫，但因種種因素仍<未>能返家。
cwn.Synset('不大.0') 表否定的委婉說法，同時表示否定的程度不高。 中學時代一講到女生常常會<不大>好意思。
cwn.Synset('朱.0') 宋代理學大家，字元晦，後改字仲晦。 程<朱>學派是中國封建社會後期最大的哲學學派。
cwn.Synset('朵.1') 計算雲彩或團狀物的單位。 天上有兩<朵>雲，小的叫白白，大的叫灰灰。
cwn.Synset('捉迷藏.1') 比喻言語行為不直接，故意使他人難以猜測。 你到底想做什麼，直說好了，別跟我<捉迷藏>！
cwn.Synset('角度.0') 比喻觀察特定事件的觀點。 由某一<角度>來看，有些人生來就很幸運或很不幸運。
cwn.Synset('魚種.0') 魚類的種類。 自從1970年代以來，能夠捕獲最有經濟價值<魚種>之漁獲量，已經減少了四分之一。
cwn.Synset('給以.0') 所有權人將特定對象給他人使用。 盼蘇聯政府予以充分之同情與援助，並<給以>具體而有決心之答覆。
cwn.Synset('未曾.0') 表後述事件從過去到現在都沒有發生過。 她對尼奧一見鍾情，苦戀了四年，尼奧一直<未曾>動心。
cwn.Synset('家姊.0') 代指說話者的姊姊。 今年我改用<家姊>名下的汽車代步。
cwn.Synset('中葉.0') 較長時期的三個分段中中間的一段，通常用於世紀或朝代。 這句名言不單只終結了整部史詩電影，它還無意中總括了三十年代<中葉>後的美利堅民族願望。
cwn.Synset('觀眾.0') 觀看表演、展覽或比賽等活動的人。 這座球場給予球員及<觀眾>更進一步親近的橋樑，球員可感受到<觀眾>捧場的親切感。
cwn.Synset('棕.1') 植物名。棕櫚科棕櫚屬，常綠喬木，幹直如柱，無枝，葉作掌狀分裂，柄甚長，夏初開花，核果為球形。 我家門前一棵<棕>，頂天立地意氣宏。
cwn.Synset('轉化.0') 一種使所描述對象具體化的方法。 <轉化>修辭具備了無限奇妙的功效，它不僅可以增強語言的表現力，又能拓展人的精神領域，開創多采多姿的文學天空，但若用得不當，還不如不用。
cwn.Synset('氾濫草原.0') 因水體氾濫泥沙淤積而形成的草地。 草原側頸龜分布於哥倫比亞、委內瑞拉境內的<氾濫草原>上的河流、湖沼中。
cwn.Synset('棚.0') 用竹、木或其他類似材質搭建成的簡陋的小房子，通常沒有四面的牆。 <棚>上數不清的瓜，好像比賽似的搶著長大。
cwn.Synset('砸.0') 主事者用手施力使特定物體往施力方向運動並碰撞到另一物體。 其中一人搶過一把鋤頭，一陣猛<砸>把那蛇給打死了。
cwn.Synset('破.10') 比喻在球類運動中，在對方發球的局數中，將其擊敗。 張德培十足苦頭，全場共出現七個愛司，發球局僅在第二盤被<破>一次。
cwn.Synset('予取予求.0') 想要多少就能得到多少。 我們反對鴉片，是因為不吸食的人，趁著吸食者心滿意足之際，<予取予求>。
cwn.Synset('砰.1') 表爆裂或撞擊時所發出的巨大聲音。 它被12支圓柱給輕巧的包容了，就像吹泡泡糖一樣，<砰>的一聲，煙消雲散。
cwn.Synset('砲.5') 打者揮擊出越過全壘打線的球，可直接跑回本壘得分。 打擊方面，太陽共敲出8支安打，包括野垣武志、丘昌榮各1發全壘打；丘昌榮的3分<砲>更轟垮了牛隊反撲意志。
cwn.Synset('闊葉林.0') 森林類型之一，由葉子形狀寬闊的樹所組成的樹林地區。 石虎分布在海拔五百公尺至一千五百公尺之間的<闊葉林>，以嚙齒類為主食。
cwn.Synset('亮.4') 比喻公開對自己有利的條件讓事件的其他參與者知道。 申辦二千年奧運，曼徹斯特<亮>籌碼。
cwn.Synset('亮.8') 白天開始時太陽從地平線升起照亮天空。 到的時候天還沒<亮>。
cwn.Synset('亮.9') 眼睛顯示出有精神或注意力集中的樣子。 他的眼睛<亮>了起來，不再黯淡，不再憂鬱，像從前一樣有神。
cwn.Synset('媽呀.0') 表祈求或驚訝的語氣。 <媽呀>！誰來救我！
cwn.Synset('研.1') 以有系統的科學方式探求特定事物的真相或性質的領域。 期望透過產官學<研>的分工合作，能夠善盡資源分享之利。
cwn.Synset('砍.0') 比喻除去不要或不需要的後述對象。 無名小站自4/1開始，180天沒有登入帳號，就會被<砍>帳號唷。
cwn.Synset('髻.0') 將頭髮盤於頭頂或後腦的髮型。 巫媽媽梳著光潔的<髻>，穿一身黑色絨旗袍。
cwn.Synset('船隻.0') 在水體表面航行的運輸工具，通常狹長中空有浮力，形狀為倒梯形的船體。 從鄭成功時代到清朝，閩粵漢人大量向臺灣移民，臺澎一帶<船隻>出入不斷。
cwn.Synset('反之.0') 表與前述命題中的條件相反。 就精神生活而言，能自我接受的人就活得自在，<反之>則茫然不安，覺得生活沒有價值。
cwn.Synset('棋.0') 遊戲中可在紙盤上按特定規則移動且帶有象徵性且能區分參與者身分的小物品，以木頭或其他材料製成。 西門町的阿伯說：搬那麼大的<棋>，搬不動囉。
cwn.Synset('如果說.0') 引出某種條件來比較。 <如果說>推薦甄選是提供某方面有較高才能或興趣的學生進入大學窄門的小徑，大學聯考就是培育各個學科均衡發展的大道。
cwn.Synset('體.0') 大學中教授體育知識的教學研究單位。體育系所的簡省。 今天讓我看到<體>一乙的另外一面，大家辛苦了！
cwn.Synset('高.15') 連接城市與城市之間，沒有紅綠燈管制，速限較高，專供機動車輛行駛的道路。 中山<高>化學槽車起火，南下路段大塞車。
cwn.Synset('民主.1') 由人民或人民選出的代表參與政治、治理國家的政治制度。 解嚴之後，台灣已義無反顧的走上<民主>道路。
cwn.Synset('撥款.0') 支付或調配的金錢。 「兩性與社會研究室」終於在七十八年七月得到學校的<撥款>而正式成立。
cwn.Synset('武松.0') 中國章回小說「水滸傳」中的人物，武藝高強，性格急俠好義，曾徒手打死猛虎。 掌中劇團與西田社並在台大校門口合演野台布袋戲「<武松>打虎」。
cwn.Synset('感恩.0') 感恩的心意。 他認為自己從祖先那裏來，祖先是他的根，祭祖應是一種<感恩>。
cwn.Synset('接過來.1') 使兩個以上的特定對象產生連結，建立流通的管道。 有的編號是從旁邊的線路<接過來>的，那就不適用這個標準了。
cwn.Synset('州.1') 通指地方行政區域的名稱。 目前德國<州>政府正討論成立緊急委員會處理此事。
cwn.Synset('川.0') 中國省名，位於湖北、西藏之間的區域。 <川>滇與西北的地方軍，向來獨自為政。
cwn.Synset('為限.0') 以前述數量作為限制。 學生登記以一校<為限>，違反規定的將取消其資格。
cwn.Synset('巫.0') 能與靈性存在物溝通且具有特殊能力的人。 他們想到通神的巫，請<巫>作法，去制服洪水。
cwn.Synset('犧牲.0') 獻給靈性存在物以用來表達敬意的人或牲畜。 禮記．月令：「命祀山林川澤，<犧牲>毋用牝。」
cwn.Synset('巨.0') 形容事件牽涉的範圍大且程度高。 我也有過充滿<巨>怒的歌，許多人也聽過。現在我的表達方式變了。
cwn.Synset('差.3') 到特定地點執行任務的人。 府邸峻潔雄秀，威嚴森然，門口兩名軍<差>身形奇偉，攔在門口。
cwn.Synset('巢.1') 特定動物為居住而建立的地方，通常在樹上或以植物為建材。 伯勞的<巢>通常是築在3到6公尺的樹上，形狀有點接近杯狀。
cwn.Synset('巧.1') 形容花費心思想出的，具有和他人不同的正面特質的。 清朝乾隆年間，科場裡有不少妙聯<巧>對的趣聞軼事。
cwn.Synset('左.2') 形容主要以左手投球或擊球的。 米克森被公認為是天生的高爾夫球選手。<左>打的他有「左手怪傑」的稱號。
cwn.Synset('左.7') 順著河流水流方向而行位於左邊的河岸。 巴黎共有八座橋與塞納河<左>、右岸連接，每座橋都有不同的故事及造型。
cwn.Synset('工.2') 計算勞力工作量的單位，以一個工人工作一天所完成的工作量為一工。 地板施工資，不足3000元，以一<工>3000元計。
cwn.Synset('巾.0') 小塊的布。 我頭上綁塊<巾>，在我的舞蹈室裡對著牆壁跳這支舞。
cwn.Synset('進一步.0') 表特定事件的程度往更深層進展。 在我們企圖<進一步>對產業內做區隔之前，先瞭解光碟出版品的分類是相當重要。
cwn.Synset('巳.0') 地支的第六位。 天干地支中<巳>屬蛇。實際上<巳>是蛇的象形。
cwn.Synset('己.0') 代指沒有指名的對象中的第六個。 甲乙丙丁戊<己>庚辛八人為發起人，各自出資一百萬元設立A股份有限公司，並於民國八十八年七月十五日辦妥設立登記。
cwn.Synset('己.1') 同類事物中順序排在第六的。 本校六年級共有十班，依甲乙丙丁戊<己>庚辛壬癸區分，每班推選代表三人參加。
cwn.Synset('巷.0') 地址的編制之一，由路或街分支出的次要道路。 使用GPS不只設定路、<巷>、弄，連門牌號碼都可精準鎖定！
cwn.Synset('巴.23') 計算大氣壓力的單位，每平方公分受力一百達因的壓力為一巴，為英語bar的音譯。 最大噴塗氣壓：10<巴>。
cwn.Synset('燕.2') 五胡十六國之一，西元398年至西元410年，慕容德所建。 西元398年，慕容德接受慕容麟建議先稱<燕>王，稱<燕>王元年，史稱此一政權為南<燕>。
cwn.Synset('燕.4') 位於今河北省北部一帶，原為燕國所在的位置。 樊於期原為秦將，因得罪於秦王，逃亡至<燕>投奔太子丹。
