所有 一切、全部。 他必須盡量考慮<所有>可能發生的經驗。
遺棄 不顧原本對後述對象的責任，主動切斷與之間的連結。 他的父母親因為當時經濟狀況不好，在他出生兩個月後就<遺棄>了他。
扔 丟掉廢棄物。 太焦的食物會致癌，還是<扔>了吧!
奏 中國古代文體之一，內容為臣下進呈君王的文書。 明初定制，臣民具疏上於朝廷者為<奏>本。
藏 主事者不讓自己被發現。 這隻兔子<藏>在花圃裡，旁邊有專業攝影師在拍它上面的花。
入手 主事者原本不擁有的後述對象變成主事者的。 官職聲名俱<入手>，近來詩客似君稀。
逼 主事者或外在條件持續給予壓力以使他人順從。 她說自己惰性很重，同小孩子一樣，不被<逼>就不會做。
翹 主事者抬高四肢。 我坐在窗邊，把雙腳<翹>在小桌子上，喝著加冰沖淡的威士忌。
拽 主事者用手施力使特定物體離開手部往施力方向運動。 頑皮的孩子把皮球<拽>得老遠。
翹 主事者的一隻腳交疊置於自己的另一隻腳上。 可是每次到了那個時間，我就會一直賴床，<翹>二郎腿。
念 主事者自言自語，重複說相同的內容。 我家阿尼看電視時，會自言自語<念>個幾句。
棄 主動不要特定資格或權益。 劉承俊逃兵役<棄>國籍被驅逐出境。
揭 主動察覺原來未知的後述對象。 在這個故事裡，有關形式、象徵、想像、虛實、經驗等最極端且尖銳的地圖哲學或符號語意學都被<揭>了出來。
攻 主動對敵人進行武力行動。 太極拳是以守為<攻>，絕不主動地攻擊對方。
知道 主觀做出後述判斷。 我<知道>他將來一定會出名。
寧願 主觀認為選擇做後述事件比較好。 蘇武<寧願>在冰天雪地中苦熬，也不肯投降。
知道 了解後述事件的重要性並能夠執行。 周先生子女皆知上進，自己<知道>用功。
輪到 事件依既定順序在其序位發生。 每次<輪到>他上臺說話，他就畏畏縮縮的，不敢上去。
推斷 根據已經知道的事實所斷定的結論。 與北京沒有互信下，事事又不得不做最壞的<推斷>。
刀 比喻醫生幫病人所進行的侵入性治療。 有可以排<刀>的固定手術房時間，雖然僅是局部麻醉，但是病患應有同等權利。
演出 表演藝術的一次呈現。 即日起，至明年元月初，預計進行六十六場<演出>。
下 事件或時間順序在參考點之後。 我覺得吃西餐很好玩，<下>次還要來吃。
歷時 事件發生經歷後述時段。 <歷時>三個月的全省環境清潔競賽，昨天終於到了打成績的緊張時刻。
雙方 事件裡處於相對地位的兩個人或兩團體的代稱。 此役，席莉絲與費南德茲於前兩盤各有建樹，<雙方>以一比一戰平。
發放 事先核准後將後述證件或執照給特定對象。 「核四建廠執照」應否<發放>？
全部 事物的全體。 若孔子的理想<全部>達到，中國的命運當然會改變。
握 五指向掌心彎曲合攏。 不管多少次，人欺我我必反擊，我暗暗緊<握>了拳頭，這樣是對的吧？媽媽？
下台 交出職務或政權。 立法院報告計劃進行情形時，又嚴加指責，並要求計劃負責人<下台>。
還 交回、歸還。 一般圖書館借書<還>書，都需要經過館員的書面登記。
耀 亮光晃動不定、一下亮一下暗。 白色樹幹<耀>著光，鳥叫聲啾啾啾啾遠近彼此呼應。
叫 人以大聲量發聲。 浪花跑到我們的腳下，大家高興得<叫>又跳。
產 人工開發或製成後述商品，通常是規模大、數量多。 多字當頭，為了多<產>糧食，不惜工本多下種子。
登台 人或物公開於大眾面前。 MOTO下半年多款新機<登台>亮相。
檢 仔細察看以確定特定對象是否有問題。 霍亂疫情升高，立委要求嚴<檢>大閘蟹。
看到 仔細察看特定對象，強調動作的結果。 雖然這些改革，還要一段時間才能<看到>成效，但要邁向學習型社會，這是一條不能不走的路。
相 仔細觀察，做為判斷或決定的標準。 他就是<相>上他跟凡夫沒有兩樣，平平凡凡的。
用 付出金錢。 那甚至她告訴我說，只要錢夠<用>，你就是富翁。
買下來 付出金錢以取得物品的所有權。 城市裡的漆商買漆，都要先認一認封條，只要是貼了他的封條的，就全都<買下來>，從來不開桶驗貨。
幹 做，取代整個事件。 現在這個樣子！我顧不得了！你們不同意我也要<幹>！
合家 代指一個家庭中的所有成員。 金嗓900K電腦點歌機是您假日休閒<合家>團圓好良伴。
那 代指上文中已提過的對象。 這一決定如果不是有意諷刺，<那>也足以說明，這次請願活動是真正的慘敗了。
後者 代指並舉的兩種對象中次序在後的那一個。 其中程式佔約35Ｋ，資料區撥用64Ｋ，但<後者>實際上約只用一半。
自己 代指主事者。 在古代若子女不像<自己>，是做父母的極不能忍受之事。
自我 代指人對自身的意識與認知。 貓咪無法回應，是因為牠沒有<自我>可以選擇。
他們倆 代指他們兩個人。 我看<他們倆>要好得很，也許到香港，就會訂婚。
那 代指任何一個不確定的對象。 那些找丈夫問這問<那>的女大學生，肯定是別有用心的，學習是假，勾引丈夫是真。
哪 代指任何一個時間，但不確定事件是否發生。 他答應我，<哪>一天有空，他就會來拜訪我。
誰 代指任何人。 唐朝時太監魚朝恩，是一位握有權柄的宦官，<誰>都怕他。
如此 代指前述事件。 我看到一個好人，心中覺得愉快，因為我心中認為人就應該<如此>。
伯仲 代指前述對象家中的兄弟。 書中還較多地評論了吳沆的作品，以及吳氏<伯仲>的作品。
汝 代指單數的聽話者。 <汝>不善體高堂念遠之情，以死相嚇，喪心不孝，於斯而極！
小兩口兒 代指年輕而關係像夫婦一樣親密的男女。 你們<小兩口兒>是去度蜜月的，我一個老太婆摻在裏面像什麼樣。
某 代指沒有指名的後述對象。 如果天命沒有<某>種指示，為何要去懼怕它呢？
老子 代指男性說話者自己，帶有狂妄的語氣。 黑臉老僧獰聲說道：那一個膽敢妄動，<老子>就斃了他！
本人 代指當事人。 這種裝置我<本人>沒有見過。
閣下 代指聽話者。 這國家的人的確對<閣下>做出狠毒之事，為<閣下>所滅，自無怨言。
乃兄 代指聽話者的哥哥。 我今天給<乃兄>的信，談到人生婚姻的事，我說是人生最苦惱的事。
自個兒 代指自己所擁有的。 隨妳隨妳！那是妳<自個兒>的事情。
那樣 代指與說話者距離較遠的事件狀態。 記得第一次遊龐貝時，就感到當時羅馬人的生活竟是<那樣>的驕奢淫逸。
你們 代指複數的聽話者。 爸爸常嚇唬我們：如果<你們>不乖，就會被關到那兒！
余 代指說話者。 五十六年六月的某一天，嚴行政院長靜波，突親自打電話告訴<余>說。
咱 代指說話者和聽話者雙方。 這是，這、這都說、都說著玩的事兒，其實最不禮儀之邦就<咱>。
他人 代指說話者或聽話者以外的人。 我們對<他人>的了解始終是隔一層。
偶 代指說話者所擁有的。 我很孤單，即時通人很少，誰能當<偶>朋友？拜託！
賢妻 代指說話者的妻子。 <賢妻>啊！<賢妻>啊！不要再笨了！不要再笨了！
老夫 代指說話者，為年老男子的自稱。 李姑娘，你救我性命，<老夫>無以為報，便將這三枚毒針贈送於你。
哦 代替停頓的語氣詞。 有個少年仔哦，他身體<哦>很粗勇的啦，人<哦>長得是沒有說很怎麼樣啦。
表示 以事物表達約定的意義。 路標的色彩是有指示作用，如紅色<表示>危險及禁止，文字或圖形是反白色也有黑色等。
飼 以人工的方式養後述動物。 記得兒時在台東的親戚每逢過年固定要郵寄一隻自<飼>的火雞來，用油炸得又乾又硬，以免在長途旅行中腐壞。
引 以他人的言行或特定事物作為依據來進行特定事件。 老師堅決不相信有白洞存在，我們也<引>經據典，拿書證明。
兇 以令人恐懼不安的方式對待後述對象。 早上是因為，姐要座前面哥不讓她座，她就<兇>我。
喝 以兇狠的態度大聲叫喊。 快刀子劉等得不耐，刻不容緩地連聲<喝>問：還有一下哪，看見了嗎？
挾 以兩個身體部位將特定物體固定。 大信<挾>傘於腋下，一面拿紙掏筆，以文喻，以圖解的。
步 以兩腿交互向前移動，雙腳不同時離開地面。 他獨自<步>往河流的源頭。
招 以公開方式募集特定對象加入。 他們開始規劃企業網際網路上的應用，並在全省廣<招>經銷商。
劈 以刀斧等利器猛力切入特定物體。 他看見富翁正在老虎的爪子下掙扎，舉來斧頭就要向老虎<劈>下去。
上 以前述事物為對象。 大企業遭遇的問題，第二波就會直接反映到中小企業身<上>。
說 以前述對象作為談論的觀點。 在赫塞的創作歷史上來<說>，這部重要的作品算是前期邁入後期中的轉型之作。
為證 以前述對象作為證據。 陳希沼涉及抄襲的部分，有著作<為證>，已經引起學術界與社會非議。
著手 以前述對象為事件開始的基礎。 老子的思想從「知」<著手>，認為人有認知的天性。
走 以前述方式使特定對象變得不存在或改變擁有者。 假如她被別人追<走>了，我不知會如何傷心。
顯示出 以前述的證據支持後述結論。 她之所以離去<顯示出>彼此內心的信任遠不及肉體的親密。
剪下 以剪的方式把特定對象從物體上分離。 所謂「羊毛」係指自綿羊或羔羊身上<剪下>之天然纖維毛。
剪下 以剪的方式，依特定形狀把特定對象從物體上分離。 吳心柳談音樂的方塊文章則是我最欽佩，且每篇必<剪下>珍重收藏的。
提出 以化學方法將特定物質由物體中取出。 此成分由桑樹<提出>，具美白效果，作用溫和有效。
留 以原本狀態收藏。 那張畫作我知道妳已經送給老爹了，妳有<留>電子檔嗎？
說道 以口語媒介引述或陳述訊息。 那漢子苦笑了一下，<說道>：「不礙事！」
吐出 以口語媒介表達出特定訊息。 這樣一個問題，從十歲的你口中<吐出>，實在不能不令我驚訝。
叫 以口語進行稱呼的言談行為。 哈哈，噯！小玲啊，嗯，他們就是妳的親生父母。∥嗯…∥<叫>啊！<叫>爸爸，媽！∥爸！媽！∥小玲，媽對不起妳，來，讓媽看看！
回 以對立的語氣態度回答，對別人先前說的話略帶不滿。 每當人家說什麼，他就<回>一句：「才怪！」
據 以強力取得後述地理空間。 日本<據>台後，設總督府統治全台，正式施政。
憑藉 以後述對象為憑藉進行特定事件。 人的幸運要靠自己的力量，而非<憑藉>出生時的既定條件。
踏 以後述腳步行走。 蘋果小姐和櫻桃小姐伴著動人的旋律，<踏>著輕快的腳步，翩翩的跳起舞來。
謂 以後述解釋定義前述對象。 翻開中國辭典，據商務印書館的漢語詞典中只載有，風馬牛<謂>事不相涉。
舉起 以手將東西由低處拿高至視線可及的地方。 她<舉起>酒杯，敬大家一杯酒。
彈 以手或工具將附著在物體表面的粉塵狀物除去。 每次使用完彩妝刷，最好用面紙或紙巾將多餘的粉<彈>開，確保刷毛的乾淨。
撿 以手或手持物品從低處拿起東西。 蘇普、桑斯兒<撿>了些枯枝，做成火把。
敲 以手或手持物品快擊物體表面。 先用爪子抓住樹幹，再用嘴在樹幹上<敲>一<敲>。
擦 以手或手持物在物體表面反覆摩擦。 我從枯葉中站了起來，拍了拍屁股，<擦>了<擦>淚水，我終於醒悟了！
牽 以手掌拉住或握住特定對象的手。 在剪接的時候，我常常看著片子裡那些<牽>過我的手的孩子、和我說過話的人。
打 以手施力使手或手持物撞擊特定對象。 男子說完用力的<打>一下桌子，整個桌子馬上變成木屑一片。
摔 以手用力關門或關窗。 我<摔>門而去。她在後面哭出了聲。
換成 以接近等值的物品或貨幣取代。 先生，我想把這張支票<換成>現金，可以嗎﹖
寫出來 以文字創作作品或紀錄事件。 他這個小說是經過一年多的時間就把這個初稿<寫出來>了。
曰 以文字媒介引述或陳述訊息。 神農四經<曰>：上藥令人身安命延，中藥養性，下藥除病。
詳 以文字媒介明確提供後述訊息。 古史所<詳>，事有紛互，今故推其梗概，求者知其指歸。
發 以文字或言語內容給特定對象，通常要求其接受或回應。 冬颱最快今晚<發>警報。
滾 以斥責的語氣叫他人離開。 你給我<滾>，你這個爛人！
換成 以新的同類對象替代原本的對象。 葉三娘<換>了一身乾淨衣衫，麻絲樣花白的頭髮梳得根根縷縷。
姦 以暴力的方式強制發生性關係。 飲醉酒的女孩子後果就是被<姦>了。
挑 以架在肩膀上的槓桿支撐並搬運後述物體。 賣枇杷的小販<挑>著小籮擔，在校園外幾條細長幽深的小巷裡做生意。
綁 以條狀物纏繞並將特定物體固定在其他物體上。 他們將成綑的紅傘扛在肩上，<綁>在自行車後架。
騙 以欺騙的方式取得特定對象。 孫悟空變成了鐵扇公主丈夫的樣子，把芭蕉扇<騙>了過來。
洗 以水或清潔劑去掉物體上的污垢。 芝一直跪著，任由雨水把她的罪<洗>去。
洗衣服 以水或清潔劑去掉衣物上的污垢。 從今天開始，你煮飯，我就洗碗，你<洗衣服>，我就曬衣服。
補 以營養物增加身體機能或使其回到正常狀態。 小寶出院啦，你可要好好的替他<補>一<補>啊！
當 以物品向當舖抵押借錢。 拿幾件衣服<當>了，好籌些錢。
激 以特定事件鼓勵特定對象，使其增加該事件正面精神特質。 這種吃力不討好的事情，很難<激>民眾的熱情。
搭 以特定副食搭配主食食用。 這道菜可以<搭>白飯或法國麵包吃。
做 以特定原料或材料做成成品。 鴨隻屠宰後的羽毛亦經該公司羽毛加工部門的清洗與乾燥等的處理後，外銷到國外<做>羽毛被、羽毛衣與填塞物等。
作出 以特定原料或材料做成成品，強調動作的結果。 只有蛋白也可以<作出>蛋糕嗎？
顯示出 以特定媒介表現出後述對象。 Windows要在電腦螢幕上<顯示出>文字或是圖形時，用的就是GDI指令。
處 以特定態度對待。 人家俗語說得好說，得意之時<處>之以淡，失意之時<處>之以忍。
對 以特定方式互動。 或許，當年我的父母也這樣<對>我的話，我今天可能是位醫生或律師了。
試 以特定方式來測驗。 民國三年，清華學校在各省招<試>學生。將軍在籍以第一名錄取入學。
攝 以特定方式取得後述靈性存在物或動物的魂魄。 放心吧！王八已經用<攝>魔大法把那小丫頭徹底收服了。
修改 以特定方法修飾後述對象的外表以達到不同的視覺效果。 在腮紅下方加上少許陰影和兩邊顎骨下方輕掃陰影，都是有<修改>臉型的視覺效果。
測 以特定標準來評量特定能力或特質。 我這麼做是要來<測>你愛不愛我的，沒想到你這麼沒良心！！
用 以特定語言或文字作為傳遞訊息的媒介。 這位修女是德國人，說一口很通達的中國話，但我們<用>英語交談。
記 以登記的方式處罰犯錯或獎勵傑出行為。 姚高橋對於員警操守不當，收受餽金之事，極為震怒，已下令<記>兩大過處分，將吳員免職。
作出 以眼神或其他肢體動作傳遞特定訊息。 裁判<作出>手勢指向網子剛剛林丹違例的位置。
畫 以粉或口紅等修飾容貌。 一位經常<畫>女妝的男士說，男性化妝和女性不同。
發放 以聲或光的方式發出訊號。 懂得<發放>"信號"者，無論男女，都會較受歡迎。
跨越 以腳越過障礙物。 遊客請勿<跨越>欄杆，否則安全自行負責。
粘 以膠、類似物質或特定方式使特定物體附著於後述物體上。 二胡的頭就斷過二次，索興不<粘>了。
限制 以規定來約束或控制後述對象。 食鹽吃的愈多得高血壓的機會也愈大，所以應<限制>鹽份的攝取
糗 以言語來嘲弄後述對象。 式場有時也會故意<糗>她。
笑 以言語取笑特定對象。 我們班上的人都<笑>我是矮冬瓜。
試 以言語或行為引起他人的反應，藉以了解他人的意圖。 她認為黃楚明一直在拿話<試>她，所以自己處境越來越危險。
鬧 以言語或行為打擾或戲弄特定對象。 怎麼對付五歲小孩，讓他不要再<鬧>了？
頂 以話語抵觸。 「喂！朋友妻不可戲！」溫明玩笑地<頂>了眾人一句。
立 以語言文字制定出特定內容，通常有約束力。 九七前無此法，也沒有可<立>此法的機關。
躍 以跳的動作離開後述地點。 眼睜睜看著獵物<躍>橋遠去，只能黯然握住一把斷了線的夢想。
窩 以身體蜷曲的姿勢待在特定地點。 我喜歡在冬天的晚上<窩>在被子裡看這本書。
躺 以輕鬆的方式休息。 你已經工作了七、八個小時，該<躺>一下了。
敲 以鍵盤輸入文字。 古田正含筆<敲>電腦腳趾撥滑鼠。
寫 以電腦可判讀的文字符號組成程式或程式碼。 他<寫>的那個程式昨晚出了大紕漏，老闆限他廿四小時之內把所有錯誤改好。
估價 估算價值。 他拿一個上面有藍寶石還有碎鑽的項鍊給我們看，給我們<估價>。
身處 位於後述狀態。 這就是在都市裡類似你的職業婦女所<身處>的情況。
位 位置在後述地點。 愛丁堡<位>在蘇格蘭中部，瀕臨福斯灣。
臨近 位置接近後述地方。 因都市化後，各城鎮需水量大增，造成<臨近>都市的水源，已經無法穩定供應都市的需要。
于 位置處於後述地點。 王家弘在民國82年8月8日<于>台北榮民總醫院呼吸治療科。
左 不確定的位置。 他的臉上生滿了潰瘡，模糊糊，紅黏黏的<左>一塊、右一塊，連鼻子都爛了一半。
上 事件的發生在前述事物的範圍內。 荊軻有堅定的決心，生死早不放在心<上>。
裡 事物內部不屬於表面的範圍。 改裝吉普車不是一件簡單事，從<裡>到外都需要技術。
後 事物整體的後半部。 邱富濱騎重機車經苗市中山路1070號前，因車速太快，<後>輪突然爆胎。
前 人造物約定俗成朝上或朝前最容易觀察到的面。 榮譽獎卡由教師按具體事實給點，並於卡<前>簽寫姓名、日期。
後 人造物約定俗成朝下或朝後最不容易觀察到的面。 介紹朋友相互認識時，在名片<後>可寫上朋友的簡歷，以幫助相互了解。
上 以前述事物為主題的範圍。 蟋蟀在昆蟲分類<上>是屬於直翅目中的蟋蟀科。
之後 位置或順序在另一物體的後面。 文藝大隊走在煤礦工人隊伍<之後>。
當中 前述對象的範圍內。 去年，全國查獲走私槍枝八百七十五把<當中>，四分之一以上為菲律賓製手槍。
上 前述物體的表面。 他的臉<上>雨水未乾，點點鬍髭洩漏連日的辛勞。
下 同一物體內較低的部份。 整個柱式自<下>而上分為台座、柱礎、柱身、柱頸、柱頭等部分。
上 同一物體內較高的部份。 整個柱式自下而<上>分為台座、柱礎、柱身、柱頸、柱頭等部分。
當中 在事件的過程中。 在剛才的階段<當中>我們討論了，是什麼樣的狀況比較容易造成挫折？
中 在前述對象所包含的空間範圍。 媽媽先教我漂浮、水<中>站立、換氣，再加上踢腳、蛙手。
中 在前述的機構或領域範圍。 這項構想將在即將舉行的臨時大會<中>提案。
下 在鏡頭檢視內的範圍。 嫦娥臉上的雀斑，在60倍左右的望遠鏡<下>，一覽無遺。
口 容器供內容物進入的地方。 他從桌子下面拿車一些正好可以從罐<口>放進罐子的「鵝卵石」。
北 指南針指向0或360度的方位。 中國大陸邊緣的走向是<北>60度東，脊樑山脈與海岸山脈組合的碰撞體走向是<北>16度東。
西 指南針指向270度的方位。 因為地球由<西>向東自轉，使得北半球的風和海水的流動方向都會向右偏。
東 指南針指向90度的方位。 祈禱完畢之後，漁船前面竟然出現一顆紅紅的火球，指引他們向<東>行駛。
下 比喻受到前述事物的負面影響的範圍。 甚至連兩個尚不懂人間恩怨的小孩，也不免慘死在刀<下>！
下 比喻在參考點之後的文本順序。 老人糖尿病併發症有急、慢性之分，分別闡述於<下>。
後 比喻在特定對象不在的場合。 我們很習慣在人面前讚美，卻在人<後>批評，大家都很愛面子吧！
下 比喻地位或等級較低的人物。 上有高齡老母，<下>有五個嗷嗷待哺的子女，一個女人家怎麼辦？
後 比喻實際狀況不容易看清，好像被表象所遮蓋的狀況。 在這資訊爆炸的時代，讀者應該要關切資訊<後>所隱藏的訊息。
上 比喻數量較多的方向。 以及在中國大陸和越南的投資，都使得三洋業績更向<上>翻升。
下 比喻數量較少的方向。 螢幕的角度必須可以向上調整二十度，向<下>調整五度。
後 比喻特定對象在前述對象的成功中扮演未被宣揚的角色。 即使在職場，女性仍只能是成功男人<後>的偉大女人嗎？
上 比喻程度較高的方向。 我認為老師講的很對啊，我會按照他說的做，我會向<上>努力的。
下 比喻階級架構中低於前述階級的階級。 Tex系統置於目錄/urs/local/Tex<下>。
下 比喻階級架構較低的方向。 車種的階級越往<下>，女性購買力越高。
上 比喻階級架構較高的方向。 不論是研究學問，做人或做事，他們都永遠在努力向<上>，追求理想。
上 比喻順序較前的方向。 台塑六輕往<上>整合，中油則朝下結盟。
下 比喻順序較後的方向。 台塑六輕往上整合，中油則朝<下>結盟。
旁邊 物體的側邊。 我目送那台<旁邊>印有「嘉義縣警察局水上分局」的警車徜徉而去。
首 特定地區中位於前述方向邊緣的地點。 左<首>一個漢子砰的一拳，將另一個漢子打翻。
頭 特定空間中，離說話者最近或最遠的一邊。 我把車子開到洞的那一<頭>去等，你們慢慢的看吧。
北 空間範圍內北邊的區域。 醫療網等各項實質建設，縮短台灣地區<北>中東南四個區域的發展差距。
南 空間範圍內南邊的區域。 請問中二高在<南>台中設置幾個交流道？
北 空間範圍外北邊的區域。 橋下帝王石遍布，沿橋<北>的東富公路直行，約5公里可達「泰源幽谷」。
中 空間範圍與各端點距離大約相等的位置。 三棒後藤首先擊出一支<中>外野方向二壘安打。
後 與參考物體面對的方向相反的方向。 他眼睛瞪著花無缺，一步步往<後>退。
前方 與參考物體面對的方向相同的方向。 鏡子裡面也有個世界，和我<前方>能看到的完全不同。
這裡 說話時間相關的事件點。 事情談到<這裡>，我也慢慢明白了。
旁邊 表靠近參考點的地方。 澎湖<旁邊>的望安島，它不但沒有農業，也沒有工業。
下面 被前述物體覆蓋住的物體的位置。 襯裙架是19世紀女人們套在她們裙子<下面>的箍裙。
那兒 詢問特定對象的位置。 大家都跑去<那兒>了?好幾天都沒出現了。
這裡 離說話者或參考點較近的位置。 西方速食店在<這裡>並不多見。
那 離說話者或參考點較遠的位置。 我在<那>玩得好開心哪！玩了好多遊樂器。
上 順序在參考點之前的文本。 有表演或參觀項目，內容十分豐富。門票及開放時間同<上>。
前 順序或次序排在整體的前半部。 根據現行的多數排名評分體系，科研型的大學更容易排名在<前>。
後 順序或次序排在整體的後半部。 對於黨提名排名太<後>，郭獎吉自認「沒有什麼用」，但也未掛意，一笑置之。
上 高於前述物體的位置。 他坐直身子，放下雜誌，伸手掀開床頭櫃<上>的窗帘。
居 住在固定的特定地方或區域。 久<居>海外的人士如果要回國探親旅遊，臺灣的旅館房價如何？
整 作弄、欺負他人。 本來要<整>他，結果他奮發圖強最後成功。
催 使事物產生或變化加快。 接連著幾場苦雨，把節氣<催>寒了。驀然，街町上到處囂賣著紅柿。
伏 使兇猛的對象順從。 即使是大魔導士前來，恐怕也無法擒<伏>那隻怪獸。
滅 使光源停止發出光線。 我先拔了電路，暫時<滅>了燈，用的時候再插。
集 使分散的後述對象聚集在一起。 他們中間有重勢派、重術派和重法派，由韓非子<集>其大成。
隔 使分離、阻斷。 他們用報紙將彼此<隔>了開來。
延長 使加長時間。 護照到期不敢去<延長>，怕被沒收。
結束 使動作或事件終止。 安全官在開始與<結束>詢問時，都會說明這項詢問是為了旅客的安全，敬請配合。
殺 使動物失去生命。 你這個小子，要是有種的話，就拔出你的劍來<殺>了我。
緩和 形容使原來激烈的特定情況平靜下來。 國內佛教信徒眾多，潛心修法有利<緩和>社會的暴戾之氣。
溶化 使固體化為液體。 廣告顏料及水彩濃度較差，遇水<溶化>不適合彩繪石頭。
增高 使增加數值。 總之，升糖激素是可以<增高>血糖的供應。
延長 使增加文本從開始到結束的字數或加長篇幅。 等到故事可以漸漸由點連成線的時候再來<延長>篇幅。
延長 使增加長度。 陽光把我們的背影慢慢<延長>。
減低 使後述事件的程度降低。 江丙坤：希望透過兩岸經濟合作，<減低>緊張情勢。
健 使後述器官機能增強。 攝取益菌不但有助<健>腸，更能健康地排出毒素。
敗 使後述對象受到損害或程度降低。 愛吃的東西，天天吃，頓頓吃，最後也會<敗>了胃口。
暖 使後述對象吸收熱量而稍微增加溫度。 想著，是那個冬天，意外一杯用來<暖>手甚或袪寒的黑咖啡揭開了一場戀情的序幕。
亡 使後述對象失去生命。 子房(張良)之所以勸高祖，<亡>韓信、封四誥，以觀其變，後果反，四誥過驕矣。
福利 使後述對象得到好處。 世人竭誠誦經，飯僧，奉佛，可以<福利>先親。
耀 使後述對象得到極高的光榮。 待來日，終能光其宗，<耀>其祖。
悅 使後述對象感到快樂、高興。 美的標準千奇百怪，為了「為<悅>己者容」，愛美女性只有以自己的身體去當賭注。
餓 使後述對象挨餓。 君不見，他苦其心志、勞其筋骨、<餓>其體膚，完全一個天降大任氣概。
髒 使後述對象有污垢雜質的。 戳瞎你的眼都嫌<髒>了我的手。
疲憊 使後述對象消耗精神體力。 面對這一情況，廉頗正確地採取了築壘固守，<疲憊>敵軍，相機攻敵的作戰方針。
省 使後述對象的數量變少。 這款T3折得方便、拆得<省>體積。
通 使後述對象的路徑沒有阻礙。 雞湯既是流質，又營養豐富，而且<通>鼻子、止咳嗽。
濕 使後述物體變濕。 好幾次落不停的雨<濕>了衣服，好幾次寒風凍得腳底發冷。
傷 使後述身體器官受到損害。 我們拿的報紙、油墨等等，都會<傷>你的手。
增高 使提高程度。 減少外來病原體＝<增高>過敏機會？
澆 使液體受重力影響由上往特定目標落下。 燒魚時，只要<澆>些酒，這樣可以解魚腥味。
滅 使火停止燃燒。 於是他把垃圾桶拖進浴室，打開水龍頭澆<滅>了火。
燒 使物體吸收熱量而增加溫度。 沙拉油<燒>至5分熱，將玉蔥包炸至椰子粉成金黃色即可。
提升 使物體所處的位置離地面的距離變大。 他靠穿增高鞋<提升>高度。
轉 使物體維持本身的軸心，做連續改變方向的運動。 我聽到有人<轉>門把的聲音，我以為是我媽媽要進來收衣服。
方便 使特定事件的目的容易達到。 這些樂器的改良其目的只在<方便>現代國樂團的演奏。
減輕 使特定事物的重量變少。 從西伯利亞飛到南洋，體重<減輕>了一半，其中之辛苦不難想像。
護 使特定對象不受侵犯或損害。 面對環保管制所必須付出的高昂成本，許多企業反而願意種樹<護>林。
搖 使特定對象依固定路徑來回擺動。 濟公也不理會別人的哭笑，<搖>著芭蕉扇走了。
彎 使特定對象形成一個角度或成弧狀。 我看見鮑斯威在不遠之處，便<彎>身鑽過警方的警戒線去找他。
聳 使特定對象感到驚恐害怕。 沒想到強震之後的餘震，也是如此的<聳>人。
帶 使特定對象跟著有支配權的人移動。 雙方在唱歌、跳舞盡興之後，新郎就<帶>新娘回男方家。
降低 使特定數量或數目減少。 若先將所有全文資料進行篩選工作，將可大量<降低>全文掃瞄所需時間。
灑 使特定物體分散地落下。 前胸下端正好露出一個大洞，我便把紅墨水<灑>在洞的四周。
傳給 使特定特質在下一代重現。 這個嗜好大概是爺爺傳給爸爸，又從爸爸<傳給>他，並且加以發揚光大。
止 使特定狀態消失或動作結束。 忽然間火光驟滅，女巫聞聲<止>舞，向他追來。
