e04 , 形容極度不悅。
一直 , 表在後述時點前事件沒有改變。常與「到」連用。
一直 , 表狀態從過去持續到參考時點，強調其狀態沒有改變過。
一知半解 , 對前述對象了解不夠完全。
一致 , 形容相同的。
一舉 , 表在一次事件中同時完成。
一舉 , 表由第一次行動中完成。
一般來說 , 句副詞。表在通常的情況下。
一般 , 引用前述事件作為隱喻來描述。
一般 , 形容一種、一番。
一般 , 形容在同類事物中不是特別或專門的。
一般 , 形容程度和同類對象沒有明顯差異的。
一般而言 , 句副詞。表在通常的情況下。
一般 , 表特定事件發生的比例高。
一 , 表不正式做特定動作。常用「…一…」。
一 , 表另外。
一 , 表完成後述動作後，緊接著發生相關事件結果。
一 , 表後述動作的完整性。
一視同仁 , 平等對待前述的對象。
一言以蔽之 , 句副詞。表用一句話來概括。
一貫 , 形容依照一定法則，從不改變的。
一起 , 普通名詞。同一團體。
一起 , 表不同的主體在同一空間或進行同一事件。
一起 , 表在同一個處所。
一路上 , 表事件的整個過程，自始至終。
一路上 , 表整個路程。
一路 , 表事件發生涵蓋整個路程。
一路 , 表事件的整個過程，方向或特性沒有改變。
一連串 , 形容多個同類事件在短時間內發生。
一連 , 表同一事件在後述時段中持續發生。
一連 , 表類似事件緊接著發生。
一邊 , 表不被重視的事情。
一邊 , 表同時進行兩個動作。常用「一邊…一邊…」。
一邊 , 表靠近參考點的地方。
一面倒 , 形容局勢完全對其中的一方有利。
一面 , 表同時進行兩個動作。常用「一面…一面…」。
一點兒 , 極少，常與否定詞連用，為完全、全部的意思。
一點兒 , 表不確定的小數量。
一點 , 極少，常與否定詞連用，為完全、全部的意思。
一點 , 表不確定的小數量。
一點 , 表程度輕微，常接在形容詞之後。
一點點 , 表不確定的小數量。
一齊 , 表不同的主體同時做同一件事。
丁 , 代指沒有指名的對象中的第四個。
丁 , 同類事物中等級排在第四的。
丁 , 同類事物中順序排在第四的。
丁 , 專有名詞。姓。
丁年 , 普通名詞。人一生中最壯盛的時期。
丁 , 普通名詞。五等第中，成績第四的一等。
丁 , 普通名詞。人一生中最壯盛的時期。
丁 , 普通名詞。兩條直線垂直而不相交所呈現出的丁字形狀。
丁 , 普通名詞。切成小方塊的食材。常用接尾詞。
丁 , 普通名詞。天干的第四位。
丁 , 普通名詞。成年男子。
丁 , 普通名詞。接尾詞。從事前述勞動工作的男子。
丁 , 普通名詞。方形的小布塊。
七 , 序數。順序排在第七。
七 , 數目字。整數，為六加一的和。
七早八早 , 表時間相當早。
万 , 數目字。整數，千的十倍。
万 , 普通名詞。麻將中的牌面，為序數牌之一。
万 , 表次數多。
万 , 表絕對。
丈夫 , 普通名詞。女子在婚姻關係中的配偶。
丈夫 , 普通名詞。對女子在婚姻關係中的配偶的指稱。
丈 , 普通名詞。長度的單位，市制一丈等於十尺。
丈 , 測量土地面積。
丈 , 計算長度的單位，市制一丈等於十尺。
三 , 專有名詞。姓。
三 , 序數，順序排在第三。
三 , 數目字，整數，為二加一的和。
三 , 表眾多。
三鐵 , 普通名詞。臺灣鐵路、臺灣高鐵和捷運交通運輸系統的統稱。
三鐵 , 普通名詞。鉛球、標槍和鐵餅三項田賽項目的總稱。
三鐵 , 普通名詞。體育競賽項目之一，參加者通常必須依序進行游泳、騎自行車與馬拉松三項比賽。
上 , 事件或時間順序在參考點之前。
上 , 事物分成兩部份或三部份時，開頭的部份。
上 , 以前述事物為對象。
上 , 估計到了一定的數量。
上 , 位置詞。事件的發生在前述事物的範圍內。
上 , 位置詞。以前述事物為主題的範圍。
上 , 位置詞。前述物體的表面。
上 , 位置詞。同一物體內較高的部份。
上 , 位置詞。比喻地位或等級較高的人物。
上 , 位置詞。比喻數量較多的方向。
上 , 位置詞。比喻程度較高的方向。
上 , 位置詞。比喻階級架構較高的方向。
上 , 位置詞。比喻順序較前的方向。
上 , 位置詞。較高的或向天的方向。
上 , 位置詞。順序在參考點之前的文本。
上 , 做階層較高的工作。
上 , 到了一定的標準或數量。
上 , 到後述處所進行該場所的典型活動。
上 , 加在表面或接觸面。
上 , 動物排泄糞便或尿液。
上升 , 位置往高處移動。
上升 , 數量或數目增加。
上升 , 狀態的等級或地位增高。
上去 , 往高處移動。
上去 , 置於動詞之後，表示進行前述具有趨向性的動作。
上台 , 出任職務或掌權。
上台 , 進行表演或演講。
上天 , 普通名詞。人類相信能夠控制自然界或人類命運的主宰者。
上學 , 在正規學校系統接受教育。
上 , 學生在特定學校系統修習特定課程。
上學 , 進入特定學校系統開始接受教育。
上 , 安裝關鍵零件。
上 , 將文件送到等級較高的人或單位。
上 , 將物體放在發揮功能的處所。
上山 , 從山的低處向高處移動。
上山 , 蠶吐絲作繭。
上市 , 公司有一定規模並經政府認定許可，可以在股票市場裡流通。
上市 , 前往提供商品買賣的市場。
上市 , 特定商品開始在市場上販賣。
上 , 往北或接近中心移動。
上 , 往高處移動或去。
上 , 從球場或舞台出場。
上 , 按前述事物的觀點來陳述。
上 , 按規定的時間工作。
上 , 搭乘或裝入運輸工具。
上旬 , 時間詞。一個月前面的十天。
上昇 , 位置往高處移動。
上昇 , 數量或數目增加。
上昇 , 狀態的等級或地位增高。
上 , 時態標記。表達到一定的結果或目的，為結果補語。
上 , 普通名詞。專指現代漢語標準語裡的第三聲。「上聲」的簡省。
上 , 普通名詞。漢語方言中，上揚的聲調。「上聲」的簡省。
上 , 書信的結尾辭。
上 , 比喻靈性存在物在後述對象體內控制其言語或行為。
上海 , 地方詞。中國城市名，位於東部沿海的港口，有東方明珠之稱。
上海 , 專有名詞。治理上海的地方政府。
上海 , 普通名詞。上海的文化。
上班 , 從事有固定工作時段的工作。
上班 , 按規定的時間工作。
上 , 登載在媒體或公告上。
上 , 等級或質量最高的。
上 , 老師在特定學校系統教授特定課程。
上臺 , 出任職務或掌權。
上臺 , 進行表演或演講。
上 , 與特定對象進行性行為。
上船 , 進入船上，通常指搭乘該交通工具。
上船 , 開始從事固定在船上的工作。
上課 , 學生在特定學校系統修習特定課程。
上課 , 老師在特定學校系統教授特定課程。
上 , 轉緊發條。
上述 , 普通名詞。文章或談話中所敘述過的內容。
上 , 連結並使用網路。
上 , 進入特定學校系統開始接受教育。
上進 , 形容自己求進步的。
上 , 達到評量標準而獲得錄取。
上 , 開始進行有競爭的活動。
上面 , 位置詞。事件的發生在前述事物的範圍內。
上面 , 位置詞。以前述事物為主題的範圍。
上面 , 位置詞。以前述事物為對象。
上面 , 位置詞。前述物體的表面。
上面 , 位置詞。同一物體內較高的部份。
上面 , 位置詞。地位或等級較高的人物。
上面 , 位置詞。比喻數量較多的方向。
上面 , 位置詞。比喻程度較高的方向。
上面 , 位置詞。比喻階級架構較高的方向。
上面 , 位置詞。比喻順序較前的方向。
上面 , 位置詞。較高的或向天的方向。
上面 , 位置詞。順序在參考點之前的文本。
上面 , 普通名詞。前述動作的對象。
上面 , 高於前述物體的位置。
上 , 高於前述物體的位置。
下 , 事件或時間順序在參考點之後。
下 , 事物分成兩部份或三部份時，結尾的部份。
下令 , 上級對下級發佈命令。
下 , 位置詞。同一物體內較低的部份。
下 , 位置詞。在鏡頭檢視內的範圍。
下 , 位置詞。比喻受到前述事物的負面影響的範圍。
下 , 位置詞。比喻在參考點之後的文本順序。
下 , 位置詞。比喻地位或等級較低的人物。
下 , 位置詞。比喻數量較少的方向。
下 , 位置詞。比喻程度較低的方向。
下 , 位置詞。比喻階級架構中低於前述階級的階級。
下 , 位置詞。比喻階級架構較低的方向。
下 , 位置詞。比喻順序較後的方向。
下 , 位置詞。表處在前述事件的情況或條件中。
下 , 位置詞。被前述物體覆蓋住的物體的位置。
下 , 位置詞。較低的或與天相反的方向。
下 , 位置詞。鄰近前述物體的底部或低於該物體位置。
下 , 使人或物離開運輸工具並到某處。
下來 , 從北邊向南邊接近參考點移動。
下來 , 指上級的指令或通知發出。
下來 , 指事件繼續進行。
下來 , 指高階層的人到基層單位去。
下來 , 時態標記。表事件從過去持續到現在。
下來 , 時態標記。表事件總結。
下來 , 時態標記。表狀態開始出現並繼續發展。
下來 , 物體產生向下位移。
下來 , 由高處向接近參考點的低處移動。
下來 , 表經過前述時段。
下 , 做對他人不利的事。
下 , 做階層較低的工作。
下列 , 形容順序在參考點之後所列舉的。
下 , 判斷並做出陳述。
下 , 動物生蛋。
下去 , 指事件繼續進行。
下去 , 指高階層的人到基層單位去。
下去 , 時態標記。表事件繼續進行。
下去 , 時態標記。表狀態繼續發展，通常指負面。
下去 , 比喻程度消退。
下去 , 物體產生向下位移。
下去 , 由高處向離開參考點的低處移動。
下台 , 交出職務或政權。
下台 , 擺脫困窘的處境，多用於否定句式。
下台 , 結束表演，從台上下來。
下 , 在比賽中得分。
下 , 在生物上施用具有特定效能的事物。
下屬 , 形容同一組織系統中，等級較低的。
下屬 , 普通名詞。直屬的下級。
下山 , 從山的高處向低處移動。
下山 , 比喻太陽或月亮降到地平線以下。
下 , 往低處移動。
下 , 往南或離開中心移動。
下 , 從後述地點移除，不使發揮功能。
下 , 從球場或舞台退場。
下 , 投入時間和精力。
下 , 投入賭注。「下注」的簡省。
下 , 拿定主意去行動。
下 , 放後述物品於土壤中。
下 , 數量減少。
下旬 , 時間詞。一個月最後的十天。
下 , 時態標記。表動作有結果。
下 , 時態標記。表可以容納。
下 , 時態標記。表完全分離。
下 , 時態標記。表由動態進入靜態。
下班 , 規定的工作時段結束。
下 , 發出指示或通知，使有所行動。
下 , 等級或品質最低的。
下 , 結束規定時間的工作或學習。
下結論 , 總結最後的論斷。
下臺 , 交出職務或政權。
下臺 , 擺脫困窘的處境，多用於否定句式。
下臺 , 結束表演，從臺上下來。
下 , 表動作的時間短暫。常用「兩下」、「三下」。
下 , 表完成前述事件，後接導致的結果。
下 , 被關進監牢。
下 , 製作特定物品時，加進後述材料。
下 , 計算技能項目的單位。
下 , 計算肢體動作的次數。
下跪 , 向特定對象跪下。
下車 , 離開所搭乘的車子。
下 , 進行棋賽或其中的一步動作。
下鍋 , 烹調時把食物放進鍋內。
下 , 降低音高。
下降 , 數量或數目減少。
下降 , 物體由較高處往低處垂直移動。
下降 , 狀態的等級或地位降低。
下 , 離開後述處所，並結束該場所的典型活動。
下雨 , 雲層的水以水滴的形態降到地上。
下 , 雲層的水以特定形態降到地上。
下面 , 位置詞。同一物體內較低的部份。
下面 , 位置詞。在鏡頭檢視內的範圍。
下面 , 位置詞。比喻受到前述事物的負面影響的範圍。
下面 , 位置詞。比喻在參考點之後的文本順序。
下面 , 位置詞。比喻地位或等級較低的人物。
下面 , 位置詞。比喻數量較少的方向。
下面 , 位置詞。比喻程度較少的方向。
下面 , 位置詞。比喻階級架構中低於前述階級的階級。
下面 , 位置詞。比喻階級架構較低的方向。
下面 , 位置詞。比喻順序較後的方向。
下面 , 位置詞。被前述物體覆蓋住的物體的位置。
下面 , 位置詞。較低的或與天相反的方向。
下面 , 位置詞。鄰近前述物體的底部或低於該物體位置。
不一定 , 形容事件帶不確定性。
不下 , 形容狀態維持在固定程度不降低。
不下 , 表前述對象的數量不少於後述數量。
不予置評 , 不做任何評論。
不予 , 表否定，用在動詞前。
不以為忤 , 形容不在意前述可能有損自己權益的事件。
不以為然 , 不贊成前述的作法。
不以為然 , 認為前述陳述錯誤。
不但 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不便 , 形容困難或無法達到使用目的。
不便 , 形容委婉表達主事者有所顧忌。
不便 , 形容比喻沒有多餘可應用的金錢，常與「手頭」連用。
不停 , 形容事件持續進行。
不僅僅 , 表超過後述數目。
不僅僅 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不僅 , 表超過後述數目。
不僅 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不光 , 表超過後述數目。
不光 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不免 , 表後述情形是不可避免的。
不公 , 形容情況不公平、不公正。
不再 , 形容前述狀態已改變而不存在。
不再 , 表強調事件不繼續。
不利 , 有壞處，常會造成傷害或損失。
不到 , 事件的歷程沒有達到特定時段的長度。
不到 , 引介動作或狀態沒有達到特定程度。通常與「哪裡」、「多少」連用，表程度不高於已知的特定對象
不到 , 時間沒有達到特定參考時點。
不到 , 沒有達到後述數量。
不加 , 表否定，用在動詞前。
不及 , 形容沒有足夠的時間進行後述事件。
不及 , 沒有達到後述數量。
不及 , 沒有達到比較對象的標準。
不只 , 表超過後述數目。
不只 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不可以 , 表不允許後述事件發生。
不可以 , 表不具事件成立的合理條件。
不可 , 形容前述對象是必要的條件。常用「非…不可」。
不可或缺 , 形容不能缺少的。
不可能 , 形容不會實現的。
不可能 , 表不會成為事實或不是事實。
不可 , 表不允許後述事件發生。
不可 , 表不應該。
不同 , 形容有差別的。
不啻 , 表肯定是。
不啻 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不單單 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不單 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不 , 地方詞。不丹。「不丹」的縮寫。
不堪 , 形容令人完全無法承受的。
不堪 , 無法承受。
不堪 , 表極度到無法承受的地步。
不外 , 表不超出特定範圍之外。
不多不少 , 數量和預期吻合。
不多不少 , 數量適中。
不大 , 表做後述動作的次數少或程度低。
不大 , 表否定的委婉說法，同時表示否定的程度不高。
不太 , 表否定的委婉說法，同時表示否定的程度不高。
不失為 , 勉強可以符合後述描述。
不好意思 , 表達歉意的用語。
不好意思 , 造成他人不便或請求他人協助時的禮貌用語。
不如 , 沒有達到比較對象的標準。
不如 , 關聯連接詞。連接說話者主觀認為比前述對象更好的後述對象。
不妨 , 表建議聽話者做後述事件。
不宜 , 不妥當、不適合。
不客氣 , 不遵守應有的謙讓禮儀
不客氣 , 回應他人對自己謝意的禮貌用語。
不容 , 不允許後述事件發生。
不容 , 不被後述對象接納。常用「不容於…」。
不實 , 形容為人不實在。
不實 , 形容與事實不符。
不少 , 具有相當的數量。
不少 , 形容有相當的數量。
不屑一顧 , 因不起眼而不注意看。
不屑一顧 , 拒絕給予注意。
不屑 , 形容看不起前述對象。
不屑 , 認為不值得去做而沒做。
不已 , 形容事件持續進行。
不已 , 形容前述情感持續表現。
不幸 , 形容運氣不好。
不幸 , 普通名詞。因運氣不好而發生的事，多會造成傷害或損失。
不幸 , 表發生運氣不好或與期望相反的事，帶有遺憾的意思。
不得不 , 表無可選擇但必須要做的。
不得而知 , 沒有辦法可以知道。
不得 , 表不可以。
不必 , 不，用於強烈拒絕。
不必 , 表不須要。
不忘 , 一直記得。
不忠 , 形容做出背叛特定對象的事。
不悅 , 因外在因素影響而不高興。
不惜 , 不顧一切、不計後果。
不捨 , 形容動作延續不中斷。
不捨 , 形容因愛惜而無法放棄。
不敬 , 做出他人視為不尊敬的行為。
不料 , 表後述事件不在預期之中發生。
不斷 , 形容事件持續進行。
不易 , 形容後述事件發生的可能性小。
不易 , 形容特定事件無法輕易達成。
不時 , 表出現的間隔頻率隔不確定。
不會 , 提醒語。用於表達對於他人的請求樂意幫忙，不覺得麻煩。
不止 , 形容事件持續進行。
不止 , 表超過後述數目。
不止 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不法 , 形容不符合法律規定的。
不法 , 形容以違反法律為常態的。
不法 , 普通名詞。不法的行為。
不消說 , 句副詞。表不需要說明即可明白。
不消說 , 句副詞。表對事件的最低期望。
不清 , 形容內容缺乏明確的定義或解釋。
不清 , 形容關係無法切斷。
不滿 , 對特定對象不滿意而感到不高興。
不然 , 形容否定前述事件，表「不是這樣」。
不然 , 關聯連接詞。連接前述事件不成立之下所得的推論。
不然 , 關聯連接詞。連接另做選擇的轉折語，帶有讓步的語氣。
不甘示弱 , 形容不願意在情勢上輸人。
不用 , 表不須要。
不用 , 表即使進行後述事件也無法達到預期效果。
不用說 , 句副詞。表不需要說明即可明白。
不用說 , 句副詞。表對事件的最低期望。
不由自主 , 表自然產生，無法克制。
不盡 , 形容前述事件因對象的數量多或規模大而持續不能終止。
不盡然 , 形容前述論述不完全正確。
不盡然 , 表後述情形不完全成立。
不盡 , 表否定的委婉說法，同時表示離肯定已經很接近。
不知不覺 , 表在沒有主動意識下發生。
不知不覺 , 表沒有察覺到。
不知所措 , 形容不知道怎麼辦才好。
不祇 , 表超過後述數目。
不祇 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不禁 , 表自然產生，無法克制。
不符 , 與所訂的要求、條件不一致。
不等 , 不相等。
不管 , 關聯連接詞。連接任意的條件，表雖然條件不同但結果相同。
不約而同 , 表彼此沒有事先約定，但意見或行為卻相同。
不經意 , 表在沒有特別注意的狀況下發生。
不置可否 , 不明確表示同意或反對。
不聞不問 , 對他人的言語或行為應該有回應卻不表示任何態度或意見。
不能 , 表不允許後述事件發生。
不能 , 表不具備完成特定事件能力。
不能 , 表不具備達到後述事件成立的條件。
不自覺 , 在沒有主動意識下做後述事件。
不自覺 , 自己沒有察覺到。
不致於 , 表不會達到後述負面結果。
不致 , 表不會達到後述負面結果。
不良 , 形容對特定對象的評價是負面的。
不行 , 形容不具備完成特定事件能力的。
不行 , 形容不適當的。
不行 , 形容比喻接近死亡。
不行 , 形容表示不同意或不允許。
不行 , 表程度高，帶有誇張語氣。
不 , 表否定，用在動詞、狀態形容詞與副詞前。
不 , 表疑問的語氣，置於句末。
不要 , 表不須要。
不要 , 表勸阻。
不要 , 表即使進行後述事件也無法達到預期效果。
不要 , 表心中存有不完成後述事件的願望。
不要 , 表禁止
不見得 , 形容事件帶不確定性。
不覺 , 後述事件在沒有主動意識下發生，出於自然而非做作。
不覺 , 後述心理感知在沒有主動意識下發生，不在預期之中。
不覺 , 沒有察覺到情況變化。
不解 , 不懂所描述的事件。
不解 , 形容無法解開。
不解 , 普通名詞。「不諒解」的簡省。
不許 , 不允許後述事件發生。
不說 , 句副詞。表對事件的最低期望。
不論 , 關聯連接詞。連接任意的條件，表雖然條件不同但結果相同。
不起眼 , 形容不重要而不引人注意。
不起眼 , 形容視覺上不引人注目。
不足 , 形容數量不夠多，未達到主觀標準。
不足 , 形容程度不夠高，未達到主觀標準。
不足 , 普通名詞。不夠好的特質。
不過 , 表對後述事物做評估，表示比預期小或少。
不過 , 表連接句子的轉折語氣，用來引出命題和前文相對的句子。
不過 , 評價修飾前面述詞的程度等級，表程度相當高。常用「再…不過」。
不遠千里 , 評價事件參與者的熱忱，表不以路途遙遠為苦。
不遺餘力 , 毫無保留地投入全部的心力。
不錯 , 形容對特定對象的評價是正面的。
不錯 , 形容正確的。
不需 , 表前述對象不必仰賴後述對象。
不顧 , 不理會。
丐 , 以低姿態請求他人給予金錢或特定事物。
丐 , 普通名詞。靠以低姿態請求他人給予食物或金錢維生的人。
丑 , 專有名詞。姓。
丑 , 普通名詞。中國傳統戲曲角色之一，為滑稽可笑的喜劇角色。常用接尾詞。
丑 , 普通名詞。在表演中，以詼諧逗趣的方式演出的人。
丑 , 普通名詞。地支的第二位。
且 , 對等連接詞。連接兩對等詞組，表兩種狀況同時存在。
且 , 表暫時退讓。
且 , 關聯連接詞。連接兩對等句子，表示進一層關係。
世 , 專有名詞。姓。
世 , 接頭詞。形容世代相傳的身份或頭銜。
世 , 接頭詞。形容非親屬關係中已有好幾代交情的。
世 , 普通名詞。三十年的時間。
世 , 普通名詞。全體人類社會。
世 , 普通名詞。同一靈性存在物在轉世輪迴中的先後順序。
世 , 普通名詞。地質年代分類單位的一種，在紀之下，期之上。常用接尾詞。
世 , 普通名詞。宗族關係中所有與其始祖的距離相同的人所組成的團體。
世 , 普通名詞。所描述的前述時代。
世 , 普通名詞。接尾詞。外國人命名系統中沿用祖先名字時，用於區分前後順序的指稱。
世界 , 地方詞。俗世、塵世。
世界 , 地方詞。地球上的所有地方。
世界 , 地方詞。對跨越不同國家，屬於共同屬性的合稱。
世界 , 地方詞。由空間、時間、物質、能量所構成的統一體，通常指空間。
世界 , 地方詞。自然界一切事物的總合。
世界 , 普通名詞。全體人類社會。
世界 , 普通名詞。自成體系的組織或現象。
世界 , 表比較之後屬性超過所有其他同類的對象。
世紀 , 普通名詞。時間的單位，一世紀為一百年。
世紀 , 普通名詞。歷史上依特定標準而劃分的特定時段。
世襲 , 承接世代相傳的身份或頭銜。
世 , 計算一次師承關係的單位。
世 , 計算一次轉世輪迴的單位。
世 , 計算宗族關係中所有與其始祖的距離相同的人所組成的團體的單位。
丘 , 專有名詞。中國春秋時代思想家，儒家思想的開創者，後世尊稱為至聖先師，本名孔丘。
丘 , 專有名詞。姓。
丘 , 普通名詞。土石形成的地面上的小型隆起地形。
丘 , 普通名詞。埋葬死者的場所。
丘 , 普通名詞。接尾詞。比喻大量特定對象堆積在特定地點所形成的形狀像丘的集合體。
丘 , 計算墳墓的單位。
丙 , 代指沒有指名的對象中的第三個。
丙 , 同類事物中等級排在第三的。
丙 , 同類事物中順序排在第三的。
丙 , 普通名詞。五等第中，成績第三的一等。
丙 , 普通名詞。天干的第三位。
丟 , 丟掉廢棄物。
丟 , 主事者用手施力使特定物體離開手部往施力方向運動。
丟 , 因疏忽而遺失後述對象。
丟 , 失去後述對象，通常用於工作或職位。
丟掉 , 將不需要或不想要的事物拋下、扔掉。
丟掉 , 形容找尋不到特定物品的狀態。
丟掉 , 後述對象從有到無。
丟棄 , 將不需要或不想要的事物拋下、扔掉。
丟 , 比喻不理會。
丟 , 用眼神傳送訊息。
並且 , 對等連接詞。連接兩個對等句子，用以表示時序先後關係。
並且 , 對等連接詞。連接兩個對等句子，用以表示進一層關係。
並列 , 不分前後的水平排列。
並列 , 形容結構具有相同的成分而且排列出現的。
並列 , 排名或地位不分前後或主次。
並用 , 同時使用前述兩項事物。
並行 , 並排前進。
並行 , 兩個以上的事件同時進行。
並 , 表加強否定的語氣，通常與預設知識相反。
並重 , 形容給予前述兩者以上的對象同樣的重視。
並 , 關聯連接詞。連接兩對等句子，表示進一層關係。
丫 , 普通名詞。特定物體末端分岔的部位。
中介 , 事件名詞。居於兩方或兩方以上之間，具協調或聯繫的作用。
中介 , 形容協調或聯繫兩方或兩方以上，使其產生關係的。
中 , 位置詞。事物分成三部份時，不在兩端的部份。
中 , 位置詞。在前述對象所包含的空間範圍。
中 , 位置詞。在前述的機構或領域範圍。
中 , 位置詞。空間範圍與各端點距離大約相等的位置。
中 , 位置詞。順序不在兩端的部份。
中共 , 專有名詞。中國的第一大黨，在中國地區依照馬克思列寧主義所建立的無產階級政黨。「中國共產黨」的縮寫。
中共 , 專有名詞。代表中華人民共和國政府。
中古 , 形容曾經被他人使用後轉手賣出的。
中古 , 時間詞。一般指中國自秦漢至唐宋的時期，或指魏晉南北朝至宋元期間。
中古 , 時間詞。歐洲自西羅馬帝國滅亡到文藝復興興起的時期。
中 , 因他人的惡意設計而受到負面影響。
中 , 因幸運而獲得獎勵。
中 , 因疾病或毒素而影響身體機能。
中國人 , 普通名詞。中華民族的族人或中國大陸的人民。
中國 , 地方詞。國名，位於亞洲東部的國家，東瀕太平洋，北臨俄國，是世界上人口最多的國家。
中國 , 專有名詞。治理中國的政府。
中國式 , 形容形式、風格上屬於中國或來自於中國的。
中國時報 , 地方詞。中國時報的建築物及建築物所在的位置。
中國時報 , 專有名詞。中國時報出版的報紙。
中國時報 , 專有名詞。臺灣的一家報社，民國三十九年由余紀忠創辦，是臺灣的全國性報紙之一。
中國 , 普通名詞。中華民族的文化。
中國電視公司 , 地方詞。中國電視公司的建築物及建築物所在的位置。
中國電視公司 , 普通名詞。中國電視公司所擁有的頻道。
中國電視公司 , 普通名詞。臺灣無線電視網之一，由中國國民黨創立。
中 , 在事件的過程中。
中 , 在前述的時間範圍內。
中 , 在競爭過程中達成目標。
中 , 地方詞。位於臺灣島的國家，轄區包含臺灣、澎湖、金門、馬祖。
中 , 地方詞。國名，位於亞洲東部的國家，東瀕太平洋，北臨俄國，是世界上人口最多的國家。
中 , 地方詞。空間範圍內包含參考點的區域。
中 , 地方詞。臺灣地名，位於臺灣中部，介於苗栗縣、彰化縣之間的地區。「台中」的簡省。
中壢 , 中壢的文化。
中壢 , 地方詞。市名，位於桃園縣內。
中外 , 地方詞。中國和中國以外的國家。
中外 , 地方詞。臺灣和臺灣以外的國家。
中央 , 位置詞。空間範圍與各端點距離大約相等的位置。
中央 , 地方詞。中央大學的建築物及建築物所在的位置。「中央大學」的縮寫。
中央 , 專有名詞。臺灣國立大學之一，位於桃園縣。「中央大學」的縮寫。
中央 , 形容屬於最高行政機構的。
中央日報 , 地方詞。中央日報的建築物及建築物所在的位置。
中央日報 , 專有名詞。中央日報出版的報紙。
